2021-03-26 23:18:52 [info] Event logging started at level warn
2021-03-26 23:18:52 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 23:34:36 [warn] Beginning heatbreak profile
2021-03-26 23:34:36 [warn] Temp0 219.0
2021-03-26 23:34:36 [warn] Temp1 192.0
2021-03-26 23:34:36 [warn] Temp2 -273.1
2021-03-26 23:34:36 [warn] Profile replicate 1
2021-03-27 00:00:12 [warn] Temp1 136.1, Z 37.500, N 3
2021-03-27 00:00:24 [warn] Temp1 127.1, Z 37.000, N 3
2021-03-27 00:00:37 [warn] Temp1 116.8, Z 36.500, N 3
2021-03-27 00:00:49 [warn] Temp1 106.5, Z 36.000, N 3
2021-03-27 00:01:01 [warn] Temp1 97.6, Z 35.500, N 3
2021-03-27 00:01:14 [warn] Temp1 91.7, Z 35.000, N 3
2021-03-27 00:01:26 [warn] Temp1 87.7, Z 34.500, N 3
2021-03-27 00:01:38 [warn] Temp1 85.2, Z 34.000, N 3
2021-03-27 00:01:51 [warn] Temp1 83.5, Z 33.500, N 3
2021-03-27 00:02:03 [warn] Temp1 82.4, Z 33.000, N 3
2021-03-27 00:02:15 [warn] Temp1 81.6, Z 32.500, N 3
2021-03-27 00:02:28 [warn] Temp1 81.0, Z 32.000, N 3
2021-03-27 00:02:40 [warn] Temp1 80.6, Z 31.500, N 3
2021-03-27 00:02:52 [warn] Temp1 80.3, Z 31.000, N 3
2021-03-27 00:03:05 [warn] Temp1 80.0, Z 30.500, N 3
2021-03-27 00:03:17 [warn] Temp1 79.8, Z 30.000, N 3
2021-03-27 00:03:29 [warn] Temp1 79.6, Z 29.500, N 3
2021-03-27 00:03:42 [warn] Temp1 79.5, Z 29.000, N 3
2021-03-27 00:03:54 [warn] Temp1 79.3, Z 28.500, N 3
2021-03-27 00:04:06 [warn] Temp1 79.2, Z 28.000, N 3
2021-03-27 00:04:06 [warn] Ending heatbreak profile
2021-03-27 00:04:07 [info] Event logging stopped
